dataset,model,model_provider,quantization,strategy,search_engine,accuracy_pct,accuracy_raw,correct,total,iterations,questions_per_iteration,avg_time_per_question,total_tokens_used,temperature,context_window,max_tokens,hardware_gpu,hardware_ram,hardware_cpu,evaluator_model,evaluator_provider,ldr_version,date_tested,contributor,contributor_source,notes,source_file
xbench_deepsearch,qwen3.6:latest,OLLAMA,,langgraph_agent,serper,77.0,77.0% (77/100),77,100,10,1,8m 53s,,0.7,36352,30000,,,,qwen3.6:latest,ollama,1.5.6,2026-04-19,LearningCircuit,git,,results/xbench-deepsearch/langgraph-agent/serper/qwen3.6-latest_2026-04-19.yaml
xbench_deepsearch,qwen3.5:9b,OLLAMA,,langgraph_agent,serper,59.0,59.0% (59/100),59,100,10,1,9m 31s,,0.7,36352,30000,,,,qwen3.5:9b,ollama,1.5.6,2026-04-07,LearningCircuit,git,,results/xbench-deepsearch/langgraph-agent/serper/qwen3.5-9b_2026-04-07.yaml
